특성별(1),특성별(2),재료를 사서 조리하는 것보다 비용이 적게 들어서,간편식이 맛있어서,직접 조리할 줄 몰라서,직접 조리할 시간이 없어서,조리하기 번거롭고 귀찮아서,간편식으로 다양한 음식을 맛 볼 수 있어서,직접 조리보다 음식물 쓰레기 등 낭비를 줄일 수 있어서,보관성/ 휴대성이 좋아서,균형 잡힌 영양소를 섭취할 수 있어서,기타
전체,소계,19.7,12.7,9.3,12.7,25.9,9.1,6.6,3.2,0.8,0
가구원수별,1인,23,10.6,11,12.2,28.6,7,4.5,2.2,0.9,0
,2인,17.7,14.7,7.9,12.4,28,8.8,6.4,3,1.2,0
,3인,20.9,11.1,8.6,13.6,24,9.7,7.9,3.5,0.6,0
,4인 이상,17.5,14.2,9.9,12.7,22.3,11.2,7.7,4.1,0.5,0
가구주성별,남성,19,13.2,9.3,12.6,24.9,9.5,7.2,3.4,0.7,0
,여성,21.2,11.7,9.3,12.8,28,8.2,5.2,2.6,1,0
가구주연령별,20대,19.2,7.2,13.2,13.4,32.1,6.5,5.8,1.2,1.4,0
,30대,20.7,13.7,10.7,13.4,25.2,8.5,5.1,2.5,0.2,0
,40대,17.8,14,8.8,14.9,22.3,10.9,7.4,3,0.9,0
,50대,19.6,12.1,10.8,12,24.5,9.2,7.1,4.1,0.6,0
,60대 이상,20.9,13.3,6.2,10.7,28.9,8.7,6.6,3.6,1.1,0
