특성별(1),특성별(2),재료를 사서 조리하는 것보다 비용이 적게 들어서,간편식이 맛있어서,직접 조리할 줄 몰라서,직접 조리할 시간이 없어서,조리하기 번거롭고 귀찮아서,간편식으로 다양한 음식을 맛 볼 수 있어서,직접 조리보다 음식물 쓰레기 등 낭비를 줄일 수 있어서,보관성/ 휴대성이 좋아서,균형 잡힌 영양소를 섭취할 수 있어서,기타
전체,소계,17.1,14.8,7.4,16.7,21.6,12.3,4.7,4.7,0.8,0
가구원수별,1인,17.9,14.2,10.4,14,24.3,8.6,5,4.6,0.8,0
,2인,17.6,12.1,6,17.4,22.7,14.3,4,4.8,1,0.1
,3인,14,17.7,6,18.1,17.9,14.4,6.4,4.3,1,0.1
,4인,18.5,15.1,6.4,17.6,20.7,13.3,3.4,4.8,0.2,0
,5인 이상,16.7,18.6,3.3,21.6,27.8,3.9,1.3,6.6,0,0.2
가구주성별,남성,15.9,15.3,6.9,17,21.3,13.6,4.5,4.8,0.8,0
,여성,19.8,13.7,8.4,16,22.5,9.1,5.3,4.5,0.7,0
가구주연령별,20대,17.2,14.5,10.6,16.5,24.9,7.3,4.5,4,0.4,0
,30대,15.3,14.2,7.7,17.9,21.7,13.8,4.2,4.1,1.2,0
,40대,17.3,16.3,6.7,15.9,22,12.9,4.6,3.8,0.3,0.1
,50대,19.9,14,6.5,16.3,18.5,12.4,5.6,6,0.8,0
,60대 이상,17.4,14.5,4.1,14.8,22,11.7,5.6,9.1,0.8,0.1
